"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"1367","41.588269035","127.0.0.1","127.0.0.1","TCP","66","47926  >  8080 [ACK] Seq=6743 Ack=7341 Win=75392 Len=0 TSval=514795945 TSecr=514795945","47926","8080"
"1368","41.588698489","127.0.0.1","127.0.0.1","TCP","116","47864  >  8080 [PSH, ACK] Seq=6697 Ack=9641 Win=75520 Len=50 TSval=514795946 TSecr=514795005","47864","8080"
"1369","41.588738578","127.0.0.1","127.0.0.1","TCP","66","8080  >  47864 [ACK] Seq=9641 Ack=6747 Win=85120 Len=0 TSval=514795946 TSecr=514795946","8080","47864"
"1370","41.589667048","127.0.0.1","127.0.0.1","TCP","615","47848  >  8080 [PSH, ACK] Seq=6651 Ack=8529 Win=75520 Len=549 TSval=514795946 TSecr=514795008","47848","8080"
"1371","41.589713702","127.0.0.1","127.0.0.1","TCP","66","8080  >  47848 [ACK] Seq=8529 Ack=7200 Win=85120 Len=0 TSval=514795947 TSecr=514795946","8080","47848"
"1372","41.590500185","127.0.0.1","127.0.0.1","TCP","506","8080  >  47918 [PSH, ACK] Seq=10891 Ack=6214 Win=85248 Len=440 TSval=514795947 TSecr=514795943","8080","47918"
"1373","41.590500185","127.0.0.1","127.0.0.1","TCP","683","47802  >  8080 [PSH, ACK] Seq=6485 Ack=10085 Win=75520 Len=617 TSval=514795947 TSecr=514795936","47802","8080"
"1374","41.591434661","127.0.0.1","127.0.0.1","TCP","116","47922  >  8080 [PSH, ACK] Seq=6628 Ack=6043 Win=75520 Len=50 TSval=514795948 TSecr=514794987","47922","8080"
"1375","41.591473842","127.0.0.1","127.0.0.1","TCP","66","8080  >  47922 [ACK] Seq=6043 Ack=6678 Win=85120 Len=0 TSval=514795948 TSecr=514795948","8080","47922"
"1376","41.591825213","127.0.0.1","127.0.0.1","TCP","624","8080  >  47926 [PSH, ACK] Seq=7341 Ack=6743 Win=83584 Len=558 TSval=514795949 TSecr=514795945","8080","47926"
"1377","41.591853569","127.0.0.1","127.0.0.1","TCP","66","47926  >  8080 [ACK] Seq=6743 Ack=7899 Win=75520 Len=0 TSval=514795949 TSecr=514795949","47926","8080"
"1378","41.593339931","127.0.0.1","127.0.0.1","TCP","389","47900  >  8080 [PSH, ACK] Seq=6765 Ack=8243 Win=75008 Len=323 TSval=514795950 TSecr=514795941","47900","8080"
"1379","41.593397201","127.0.0.1","127.0.0.1","TCP","66","8080  >  47900 [ACK] Seq=8243 Ack=7088 Win=83712 Len=0 TSval=514795950 TSecr=514795950","8080","47900"
"1380","41.593638153","127.0.0.1","127.0.0.1","TCP","658","8080  >  47922 [PSH, ACK] Seq=6043 Ack=6678 Win=85120 Len=592 TSval=514795951 TSecr=514795948","8080","47922"
"1381","41.593673912","127.0.0.1","127.0.0.1","TCP","66","47922  >  8080 [ACK] Seq=6678 Ack=6635 Win=75392 Len=0 TSval=514795951 TSecr=514795951","47922","8080"
"1382","41.593673912","127.0.0.1","127.0.0.1","TCP","651","47746  >  8080 [PSH, ACK] Seq=6639 Ack=8609 Win=75520 Len=585 TSval=514795951 TSecr=514794933","47746","8080"
"1383","41.593710788","127.0.0.1","127.0.0.1","TCP","66","8080  >  47746 [ACK] Seq=8609 Ack=7224 Win=85120 Len=0 TSval=514795951 TSecr=514795951","8080","47746"
"1384","41.594635557","127.0.0.1","127.0.0.1","TCP","615","47898  >  8080 [PSH, ACK] Seq=6728 Ack=5979 Win=75520 Len=549 TSval=514795951 TSecr=514795002","47898","8080"
"1385","41.594681023","127.0.0.1","127.0.0.1","TCP","66","8080  >  47898 [ACK] Seq=5979 Ack=7277 Win=84608 Len=0 TSval=514795952 TSecr=514795951","8080","47898"
"1386","41.595456122","127.0.0.1","127.0.0.1","TCP","421","47832  >  8080 [PSH, ACK] Seq=6632 Ack=9349 Win=75520 Len=355 TSval=514795952 TSecr=514794967","47832","8080"
