"No.","Time","Source","Destination","Protocol","Length","Info","src_port","dst_port"
"9091","7.988593374","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","43060"
"9092","7.988593374","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","58978"
"9093","7.988618586","127.0.0.1","127.0.0.1","TCP","66","43060  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449048298 TSecr=449048298","43060","4444"
"9094","7.988618586","127.0.0.1","127.0.0.1","TCP","66","58978  >  4444 [ACK] Seq=412 Ack=151 Win=630 Len=0 TSval=449048298 TSecr=449048298","58978","4444"
"9112","7.989517157","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60080","4444"
"9113","7.989905541","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","59988"
"9115","7.989935572","127.0.0.1","127.0.0.1","TCP","66","59988  >  4444 [ACK] Seq=616 Ack=226 Win=630 Len=0 TSval=449048300 TSecr=449048300","59988","4444"
"9137","7.992155250","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60338"
"9138","7.992174456","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60294"
"9139","7.992184374","127.0.0.1","127.0.0.1","TCP","66","60338  >  4444 [ACK] Seq=616 Ack=226 Win=630 Len=0 TSval=449048302 TSecr=449048302","60338","4444"
"9140","7.992193313","127.0.0.1","127.0.0.1","TCP","66","60294  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449048302 TSecr=449048302","60294","4444"
"9151","7.992978532","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60470","4444"
"9158","7.994057641","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42876","4444"
"9171","7.995587502","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60080"
"9172","7.995610829","127.0.0.1","127.0.0.1","TCP","66","60080  >  4444 [ACK] Seq=411 Ack=151 Win=630 Len=0 TSval=449048305 TSecr=449048305","60080","4444"
"9207","7.999005716","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","42954","4444"
"9209","7.999369307","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42876"
"9210","7.999392215","127.0.0.1","127.0.0.1","TCP","66","42876  >  4444 [ACK] Seq=1026 Ack=376 Win=630 Len=0 TSval=449048309 TSecr=449048309","42876","4444"
"9216","7.999994032","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60470"
"9217","8.000017918","127.0.0.1","127.0.0.1","TCP","66","60470  >  4444 [ACK] Seq=206 Ack=76 Win=630 Len=0 TSval=449048310 TSecr=449048310","60470","4444"
"9236","8.003314469","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","42954"
"9237","8.003337517","127.0.0.1","127.0.0.1","TCP","66","42954  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449048313 TSecr=449048313","42954","4444"
"9240","8.004043187","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","43038","4444"
"9260","8.009013052","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","43038"
"9261","8.009037427","127.0.0.1","127.0.0.1","TCP","66","43038  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449048319 TSecr=449048319","43038","4444"
"9301","8.082673425","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60314","4444"
"9314","8.086329866","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","43022","4444"
"9324","8.087603690","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","59964","4444"
"9331","8.088575244","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60314"
"9332","8.088598222","127.0.0.1","127.0.0.1","TCP","66","60314  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449048398 TSecr=449048398","60314","4444"
"9358","8.091726807","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","43022"
"9359","8.091750832","127.0.0.1","127.0.0.1","TCP","66","43022  >  4444 [ACK] Seq=411 Ack=151 Win=630 Len=0 TSval=449048401 TSecr=449048401","43022","4444"
"9369","8.093934402","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60126","4444"
"9370","8.094048801","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","59964"
"9371","8.094070801","127.0.0.1","127.0.0.1","TCP","66","59964  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449048404 TSecr=449048404","59964","4444"
"9372","8.094123042","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60354","4444"
"9386","8.095985344","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","59916","4444"
"9413","8.098222342","127.0.0.1","127.0.0.1","TLSv1.2","271","Application Data","60278","4444"
"9428","8.099193408","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60126"
"9429","8.099218201","127.0.0.1","127.0.0.1","TCP","66","60126  >  4444 [ACK] Seq=821 Ack=301 Win=630 Len=0 TSval=449048409 TSecr=449048409","60126","4444"
"9438","8.100194923","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60354"
"9439","8.100216993","127.0.0.1","127.0.0.1","TCP","66","60354  >  4444 [ACK] Seq=1231 Ack=451 Win=630 Len=0 TSval=449048410 TSecr=449048410","60354","4444"
"9459","8.101913983","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","59916"
"9460","8.101937030","127.0.0.1","127.0.0.1","TCP","66","59916  >  4444 [ACK] Seq=1026 Ack=376 Win=630 Len=0 TSval=449048412 TSecr=449048412","59916","4444"
"9470","8.103611741","127.0.0.1","127.0.0.1","TLSv1.2","141","Application Data","4444","60278"
